36,1,0,0.0,0.25
36,1,2,0.0,0.25
36,0,0,0.0,0.25
36,0,1,0.0,0.25
36,3,2,0.0,0.25
36,3,2,0.0,0.25
36,3,2,0.0,0.25
36,3,0,0.0,0.25
36,0,3,0.0,0.25
36,1,1,0.0,0.25
36,4,1,-1.0,0.25
36,7,3,1.0,0.25
37,0,3,0.0,0.25
37,1,1,0.0,0.25
37,4,2,0.0,0.25
37,3,2,0.0,0.25
37,3,0,0.0,0.25
37,0,1,0.0,0.25
37,3,1,0.0,0.25
37,6,0,0.0,0.25
37,3,0,0.0,0.25
37,0,2,0.0,0.25
37,0,0,0.0,0.25
37,0,2,0.0,0.25
37,0,1,0.0,0.25
37,3,3,0.0,0.25
37,4,1,-1.0,0.25
37,7,1,-1.0,0.25
37,7,0,0.0,0.25
37,4,1,-1.0,0.25
37,7,0,0.0,0.25
37,4,1,-1.0,0.25
37,7,0,0.0,0.25
37,4,2,0.0,0.25
37,3,3,0.0,0.25
37,4,2,0.0,0.25
37,3,0,0.0,0.25
37,0,3,0.0,0.25
37,1,1,0.0,0.25
37,4,1,-1.0,0.25
37,7,3,1.0,0.25
38,0,3,0.0,0.25
38,1,0,0.0,0.25
38,1,1,0.0,0.25
38,4,2,0.0,0.25
38,3,0,0.0,0.25
38,0,2,0.0,0.25
38,0,0,0.0,0.25
38,0,2,0.0,0.25
38,0,3,0.0,0.25
38,1,1,0.0,0.25
38,4,0,0.0,0.25
38,1,0,0.0,0.25
38,1,0,0.0,0.25
38,1,0,0.0,0.25
38,1,3,0.0,0.25
38,2,1,0.0,0.25
38,5,2,0.0,0.25
38,4,1,-1.0,0.25
38,7,1,-1.0,0.25
38,7,0,0.0,0.25
38,4,3,0.0,0.25
38,5,3,0.0,0.25
38,5,1,1.0,0.25
39,0,2,0.0,0.25
39,0,3,0.0,0.25
39,1,2,0.0,0.25
39,0,1,0.0,0.25
39,3,3,0.0,0.25
39,4,0,0.0,0.25
39,1,2,0.0,0.25
39,0,1,0.0,0.25
39,3,1,0.0,0.25
39,6,2,0.0,0.25
39,6,2,0.0,0.25
39,6,2,0.0,0.25
39,6,2,0.0,0.25
39,6,2,0.0,0.25
39,6,1,0.0,0.25
39,6,2,0.0,0.25
39,6,1,0.0,0.25
39,6,2,0.0,0.25
39,6,2,0.0,0.25
39,6,3,-1.0,0.25
39,7,0,0.0,0.25
39,4,1,-1.0,0.25
39,7,1,-1.0,0.25
39,7,2,0.0,0.25
39,6,2,0.0,0.25
39,6,3,-1.0,0.25
39,7,0,0.0,0.25
39,4,3,0.0,0.25
39,5,1,1.0,0.25
40,0,2,0.0,0.25
40,0,2,0.0,0.25
40,0,0,0.0,0.25
40,0,3,0.0,0.25
40,1,1,0.0,0.25
40,4,3,0.0,0.25
40,5,2,0.0,0.25
40,4,2,0.0,0.25
40,3,1,0.0,0.25
40,6,2,0.0,0.25
40,6,0,0.0,0.25
40,3,2,0.0,0.25
40,3,1,0.0,0.25
40,6,3,-1.0,0.25
40,7,1,-1.0,0.25
40,7,3,1.0,0.25
41,0,3,0.0,0.25
41,1,3,0.0,0.25
41,2,0,0.0,0.25
41,2,1,0.0,0.25
41,5,1,1.0,0.25
42,0,1,0.0,0.25
42,3,2,0.0,0.25
42,3,0,0.0,0.25
42,0,2,0.0,0.25
42,0,3,0.0,0.25
42,1,3,0.0,0.25
42,2,3,0.0,0.25
42,2,2,0.0,0.25
42,1,0,0.0,0.25
42,1,0,0.0,0.25
42,1,1,0.0,0.25
42,4,0,0.0,0.25
42,1,3,0.0,0.25
42,2,2,0.0,0.25
42,1,2,0.0,0.25
42,0,1,0.0,0.25
42,3,1,0.0,0.25
42,6,0,0.0,0.25
42,3,3,0.0,0.25
42,4,3,0.0,0.25
42,5,2,0.0,0.25
42,4,0,0.0,0.25
42,1,2,0.0,0.25
42,0,1,0.0,0.25
42,3,1,0.0,0.25
42,6,2,0.0,0.25
42,6,2,0.0,0.25
42,6,1,0.0,0.25
42,6,1,0.0,0.25
42,6,2,0.0,0.25
42,6,3,-1.0,0.25
42,7,1,-1.0,0.25
42,7,0,0.0,0.25
42,4,0,0.0,0.25
42,1,3,0.0,0.25
42,2,3,0.0,0.25
42,2,1,0.0,0.25
42,5,3,0.0,0.25
42,5,2,0.0,0.25
42,4,0,0.0,0.25
42,1,2,0.0,0.25
42,0,3,0.0,0.25
42,1,0,0.0,0.25
42,1,1,0.0,0.25
42,4,1,-1.0,0.25
42,7,3,1.0,0.25
43,0,3,0.0,0.25
43,1,2,0.0,0.25
43,0,0,0.0,0.25
43,0,1,0.0,0.25
43,3,2,0.0,0.25
43,3,0,0.0,0.25
43,0,2,0.0,0.25
43,0,0,0.0,0.25
43,0,0,0.0,0.25
43,0,1,0.0,0.25
43,3,1,0.0,0.25
43,6,3,-1.0,0.25
43,7,3,1.0,0.25
44,0,1,0.0,0.25
44,3,1,0.0,0.25
44,6,0,0.0,0.25
44,3,2,0.0,0.25
44,3,3,0.0,0.25
44,4,2,0.0,0.25
44,3,1,0.0,0.25
44,6,0,0.0,0.25
44,3,3,0.0,0.25
44,4,1,-1.0,0.25
44,7,2,0.0,0.25
44,6,0,0.0,0.25
44,3,1,0.0,0.25
44,6,1,0.0,0.25
44,6,1,0.0,0.25
44,6,1,0.0,0.25
44,6,3,-1.0,0.25
44,7,3,1.0,0.25
45,0,2,0.0,0.25
45,0,0,0.0,0.25
45,0,1,0.0,0.25
45,3,1,0.0,0.25
45,6,0,0.0,0.25
45,3,0,0.0,0.25
45,0,0,0.0,0.25
45,0,0,0.0,0.25
45,0,3,0.0,0.25
45,1,2,0.0,0.25
45,0,0,0.0,0.25
45,0,1,0.0,0.25
45,3,2,0.0,0.25
45,3,0,0.0,0.25
45,0,1,0.0,0.25
45,3,3,0.0,0.25
45,4,1,-1.0,0.25
45,7,0,0.0,0.25
45,4,0,0.0,0.25
45,1,2,0.0,0.25
45,0,1,0.0,0.25
45,3,0,0.0,0.25
45,0,2,0.0,0.25
45,0,2,0.0,0.25
45,0,1,0.0,0.25
45,3,3,0.0,0.25
45,4,2,0.0,0.25
45,3,0,0.0,0.25
45,0,3,0.0,0.25
45,1,0,0.0,0.25
45,1,0,0.0,0.25
45,1,3,0.0,0.25
45,2,1,0.0,0.25
45,5,0,0.0,0.25
45,2,1,0.0,0.25
45,5,3,0.0,0.25
45,5,0,0.0,0.25
45,2,2,0.0,0.25
45,1,0,0.0,0.25
45,1,2,0.0,0.25
45,0,3,0.0,0.25
45,1,2,0.0,0.25
45,0,3,0.0,0.25
45,1,3,0.0,0.25
45,2,3,0.0,0.25
45,2,0,0.0,0.25
45,2,0,0.0,0.25
45,2,3,0.0,0.25
45,2,3,0.0,0.25
45,2,0,0.0,0.25
45,2,2,0.0,0.25
45,1,2,0.0,0.25
45,0,1,0.0,0.25
45,3,3,0.0,0.25
45,4,1,-1.0,0.25
45,7,2,0.0,0.25
45,6,3,-1.0,0.25
45,7,0,0.0,0.25
45,4,2,0.0,0.25
45,3,3,0.0,0.25
45,4,1,-1.0,0.25
45,7,1,-1.0,0.25
45,7,2,0.0,0.25
45,6,3,-1.0,0.25
45,7,3,1.0,0.25
46,0,1,0.0,0.25
46,3,1,0.0,0.25
46,6,2,0.0,0.25
46,6,3,-1.0,0.25
46,7,3,1.0,0.25
47,0,2,0.0,0.25
47,0,2,0.0,0.25
47,0,3,0.0,0.25
47,1,2,0.0,0.25
47,0,0,0.0,0.25
47,0,0,0.0,0.25
47,0,3,0.0,0.25
47,1,3,0.0,0.25
47,2,3,0.0,0.25
47,2,0,0.0,0.25
47,2,0,0.0,0.25
47,2,1,0.0,0.25
47,5,3,0.0,0.25
47,5,3,0.0,0.25
47,5,2,0.0,0.25
47,4,0,0.0,0.25
47,1,1,0.0,0.25
47,4,3,0.0,0.25
47,5,1,1.0,0.25
48,0,1,0.0,0.25
48,3,0,0.0,0.25
48,0,0,0.0,0.25
48,0,1,0.0,0.25
48,3,0,0.0,0.25
48,0,2,0.0,0.25
48,0,3,0.0,0.25
48,1,1,0.0,0.25
48,4,0,0.0,0.25
48,1,2,0.0,0.25
48,0,3,0.0,0.25
48,1,0,0.0,0.25
48,1,0,0.0,0.25
48,1,3,0.0,0.25
48,2,2,0.0,0.25
48,1,2,0.0,0.25
48,0,2,0.0,0.25
48,0,2,0.0,0.25
48,0,0,0.0,0.25
48,0,2,0.0,0.25
48,0,3,0.0,0.25
48,1,2,0.0,0.25
48,0,2,0.0,0.25
48,0,3,0.0,0.25
48,1,1,0.0,0.25
48,4,3,0.0,0.25
48,5,2,0.0,0.25
48,4,0,0.0,0.25
48,1,0,0.0,0.25
48,1,2,0.0,0.25
48,0,1,0.0,0.25
48,3,1,0.0,0.25
48,6,2,0.0,0.25
48,6,1,0.0,0.25
48,6,3,-1.0,0.25
48,7,1,-1.0,0.25
48,7,1,-1.0,0.25
48,7,0,0.0,0.25
48,4,1,-1.0,0.25
48,7,0,0.0,0.25
48,4,3,0.0,0.25
48,5,3,0.0,0.25
48,5,3,0.0,0.25
48,5,0,0.0,0.25
48,2,3,0.0,0.25
48,2,2,0.0,0.25
48,1,1,0.0,0.25
48,4,0,0.0,0.25
48,1,3,0.0,0.25
48,2,3,0.0,0.25
48,2,1,0.0,0.25
48,5,2,0.0,0.25
48,4,2,0.0,0.25
48,3,1,0.0,0.25
48,6,0,0.0,0.25
48,3,1,0.0,0.25
48,6,3,-1.0,0.25
48,7,0,0.0,0.25
48,4,0,0.0,0.25
48,1,3,0.0,0.25
48,2,1,0.0,0.25
48,5,2,0.0,0.25
48,4,0,0.0,0.25
48,1,0,0.0,0.25
48,1,3,0.0,0.25
48,2,2,0.0,0.25
48,1,2,0.0,0.25
48,0,0,0.0,0.25
48,0,1,0.0,0.25
48,3,2,0.0,0.25
48,3,0,0.0,0.25
48,0,0,0.0,0.25
48,0,2,0.0,0.25
48,0,1,0.0,0.25
48,3,0,0.0,0.25
48,0,0,0.0,0.25
48,0,3,0.0,0.25
48,1,1,0.0,0.25
48,4,2,0.0,0.25
48,3,1,0.0,0.25
48,6,0,0.0,0.25
48,3,3,0.0,0.25
48,4,3,0.0,0.25
48,5,3,0.0,0.25
48,5,1,1.0,0.25
49,0,2,0.0,0.25
49,0,2,0.0,0.25
49,0,2,0.0,0.25
49,0,0,0.0,0.25
49,0,2,0.0,0.25
49,0,2,0.0,0.25
49,0,2,0.0,0.25
49,0,1,0.0,0.25
49,3,3,0.0,0.25
49,4,0,0.0,0.25
49,1,0,0.0,0.25
49,1,3,0.0,0.25
49,2,0,0.0,0.25
49,2,3,0.0,0.25
49,2,3,0.0,0.25
49,2,0,0.0,0.25
49,2,1,0.0,0.25
49,5,1,1.0,0.25
50,0,3,0.0,0.25
50,1,0,0.0,0.25
50,1,1,0.0,0.25
50,4,0,0.0,0.25
50,1,1,0.0,0.25
50,4,3,0.0,0.25
50,5,3,0.0,0.25
50,5,1,1.0,0.25
